time,cumm_vehicles_left,cumm_vehicles_right,density_left,density_right,vehicles_left,vehicles_right
878.04,2047,1984,0.248119203917891,0.1541017141491967,1041,990
878.08,2047,1984,0.23672675488868045,0.1655094666427761,1006,994
878.12,2047,1986,0.22458407141120484,0.1763498178343188,1041,992
878.16,2047,1986,0.21647042478552325,0.19577584662246905,1006,994
878.2,2047,1986,0.20686325587857313,0.2242802962432061,1041,992
878.24,2047,1986,0.20389010454655965,0.2299244460371499,1006,994
878.28,2048,1986,0.20061824875829248,0.20048677059069464,1042,992
878.32,2048,1986,0.19739501927685732,0.14753180433614044,1006,994
878.36,2048,1986,0.20584905005036291,0.12488054709430807,1042,992
878.4,2048,1987,0.21714424646590946,0.13914770351788808,1006,995
878.44,2048,1987,0.248167830224723,0.14955503792629754,1042,992
878.48,2048,1987,0.2751206974401723,0.13793077704115153,1006,995
878.52,2049,1987,0.2881872807474558,0.11577972884190413,1043,992
878.5600000000001,2049,1987,0.29157028237991034,0.1022292898524757,1006,995
878.6,2050,1987,0.2945087006356153,0.11085976228871763,1044,992
878.64,2050,1987,0.3069848216456531,0.11825091082840589,1006,995
878.6800000000001,2050,1987,0.29666909798200825,0.12241683091441202,1044,992
878.72,2050,1987,0.29311937758327256,0.1357955563519082,1006,995
878.76,2050,1988,0.28194227362717517,0.14552350235919487,1044,993
878.8000000000001,2050,1988,0.2727032753290959,0.15827510004180856,1006,995
878.84,2050,1988,0.2555104025563544,0.17804455593382307,1044,993
878.88,2050,1988,0.24465978951755762,0.1814265663262259,1006,995
878.9200000000001,2050,1988,0.23804661178840614,0.16288896852415935,1044,993
878.96,2050,1988,0.22533430585947,0.14658364689721082,1006,995
879.0,2050,1988,0.22084679240040295,0.14367944812757572,1044,993
879.04,2050,1988,0.21510888819422735,0.14760646240219788,1006,995
879.08,2051,1989,0.2094057170643604,0.1577300961595891,1045,994
879.12,2051,1989,0.20291757840991975,0.1705414202950487,1006,995
879.16,2051,1989,0.19848563787294637,0.18126231858089947,1045,994
879.2,2052,1990,0.18974679587371057,0.17534939974914887,1007,996
879.24,2052,1990,0.18264735507623908,0.17533446813593745,1045,994
879.28,2052,1990,0.17396408599909696,0.1441871229767664,1007,996
879.32,2052,1990,0.16886527039699906,0.12221525413605683,1045,994
879.36,2052,1990,0.16824702163870653,0.11784775727169561,1007,996
879.4,2052,1990,0.16416935848008063,0.12611240518425615,1045,994
879.44,2052,1991,0.160737730540794,0.1270754942363973,1007,997
879.48,2052,1991,0.16715640304261747,0.1423281371319357,1045,994
879.52,2052,1991,0.17296377340141011,0.16273218658543864,1007,997
879.5600000000001,2052,1991,0.1811329929491855,0.16537508212387264,1045,994
879.6,2052,1991,0.18099406064395118,0.15245923669593264,1007,997
879.64,2052,1991,0.17640234795595844,0.13845338350355374,1045,994
879.6800000000001,2052,1991,0.1843423292000973,0.13421280535149016,1007,997
879.72,2052,1991,0.1859469973255531,0.14483664815146624,1045,994
879.76,2052,1991,0.1914278767670452,0.15324314638953596,1007,997
879.8000000000001,2052,1991,0.18976068910423394,0.16023860717911964,1045,994
879.84,2053,1991,0.18641936716334961,0.17563310040016722,1008,997
879.88,2054,1991,0.18034107880935013,0.1885414800215015,1046,994
